query_id,user_id,role,department,database_name,table_name,query_type,query_text,rows_accessed,execution_time_ms,timestamp,hour,day_of_week,weekend_access,source_ip,country,device_type,sensitive_table,download_size_mb,failed_query_attempts,query_frequency_last_hour,database_sensitivity,privileged_user,behavior_anomaly_score,risk_label
QRY000000,USR00867,Manager,Finance,PayrollDB,tickets,SELECT,SELECT * FROM tickets,32937,1086,2026-06-15 01:38:07,13,Sunday,True,15.102.2.44,India,Tablet,False,99.78,1,15,HIGH,False,43.77,MEDIUM
QRY000001,USR00963,Developer,Finance,HRDB,tickets,INSERT,INSERT INTO tickets VALUES (...),389,322,2026-02-14 12:30:54,12,Monday,False,108.166.115.227,India,Tablet,False,8.88,0,1,CRITICAL,False,2.43,LOW
QRY000002,USR00849,Manager,Finance,FinanceDB,tickets,SELECT,SELECT * FROM tickets,342,222,2026-05-25 04:59:37,16,Saturday,True,204.225.57.15,India,Mobile,False,4.97,0,10,MEDIUM,False,15.53,LOW
QRY000003,USR01185,DBA,Finance,PayrollDB,attendance,SELECT,SELECT * FROM attendance,262,347,2026-01-16 02:32:03,7,Thursday,False,35.16.32.135,India,Windows Laptop,False,8.75,1,4,CRITICAL,True,14.9,LOW
QRY000004,USR00699,DBA,Finance,AuditDB,credit_cards,SELECT,SELECT * FROM credit_cards,5053,1191,2026-03-26 08:51:32,15,Thursday,False,107.13.201.195,Germany,Windows Laptop,True,54.45,3,23,LOW,True,64.45,MEDIUM
QRY000005,USR01195,Developer,Finance,AuditDB,attendance,INSERT,INSERT INTO attendance VALUES (...),957,242,2026-05-17 18:03:57,20,Tuesday,False,136.117.166.61,India,MacBook,False,2.74,1,10,CRITICAL,False,23.37,LOW
QRY000006,USR00976,Developer,Security,HRDB,inventory,INSERT,INSERT INTO inventory VALUES (...),871,305,2026-03-24 10:10:05,17,Tuesday,False,101.227.113.241,India,Windows Laptop,False,3.73,0,8,MEDIUM,False,12.46,LOW
QRY000007,USR00098,SecurityAnalyst,Security,CustomerDB,attendance,UPDATE,UPDATE attendance SET status='active',871,443,2026-03-17 11:15:20,23,Sunday,True,154.232.195.237,India,MacBook,False,3.85,1,1,CRITICAL,False,9.97,LOW
QRY000008,USR00381,Admin,HR,FinanceDB,employees,DELETE,DELETE FROM employees,591906,8700,2026-05-03 23:32:32,13,Thursday,False,136.161.87.66,Russia,Mobile,True,448.4,6,54,LOW,True,233.03,HIGH
QRY000009,USR00257,Developer,IT,PayrollDB,logs,UPDATE,UPDATE logs SET status='active',674,263,2026-05-29 23:14:30,13,Tuesday,False,84.53.244.171,India,Windows Laptop,False,7.88,0,4,LOW,False,6.86,LOW
QRY000010,USR00143,SecurityAnalyst,IT,CustomerDB,logs,SELECT,SELECT * FROM logs,2450,1135,2026-05-16 08:46:26,0,Sunday,True,113.6.66.54,Germany,Windows Laptop,False,39.52,1,30,HIGH,False,57.2,MEDIUM
QRY000011,USR00081,Admin,IT,FinanceDB,bank_accounts,DELETE,DELETE FROM bank_accounts,294045,13306,2026-05-03 20:49:09,5,Friday,False,148.238.223.25,Russia,Tablet,True,686.36,5,78,HIGH,True,255.04,HIGH
QRY000012,USR00212,SecurityAnalyst,IT,PayrollDB,credit_cards,DELETE,DELETE FROM credit_cards,260371,3981,2026-05-09 16:10:01,19,Sunday,True,3.214.204.62,Brazil,Tablet,True,304.42,9,86,MEDIUM,False,257.48,HIGH
QRY000013,USR00938,SecurityAnalyst,Operations,PayrollDB,logs,SELECT,SELECT * FROM logs,47900,2162,2026-02-11 00:24:55,0,Sunday,True,191.0.220.125,Germany,Windows Laptop,False,13.86,1,28,HIGH,False,56.18,MEDIUM
QRY000014,USR00679,Admin,Security,FinanceDB,inventory,INSERT,INSERT INTO inventory VALUES (...),883,457,2026-05-25 08:07:40,8,Friday,False,64.40.131.140,India,Windows Laptop,False,3.86,1,4,HIGH,True,14.47,LOW
QRY000015,USR00655,Admin,IT,AuditDB,tickets,SELECT,SELECT * FROM tickets,25036,1438,2026-06-11 13:36:53,13,Sunday,True,128.239.159.226,Germany,Windows Laptop,False,56.62,2,26,CRITICAL,True,63.17,MEDIUM
QRY000016,USR00477,SecurityAnalyst,Security,HRDB,logs,SELECT,SELECT * FROM logs,576,73,2026-02-13 23:29:30,2,Sunday,True,60.120.164.167,India,Mobile,False,4.81,0,7,CRITICAL,False,11.04,LOW
QRY000017,USR00267,DBA,Finance,HRDB,inventory,SELECT,SELECT * FROM inventory,152,413,2026-01-13 01:30:19,13,Wednesday,False,133.73.0.7,India,Mobile,False,4.64,0,6,CRITICAL,True,9.48,LOW
QRY000018,USR00625,Manager,Operations,AuditDB,products,INSERT,INSERT INTO products VALUES (...),902,242,2026-01-26 07:32:14,10,Tuesday,False,35.34.84.234,India,Mobile,False,9.91,1,2,MEDIUM,False,12.08,LOW
QRY000019,USR00962,Admin,Security,AuditDB,logs,UPDATE,UPDATE logs SET status='active',744,232,2026-05-21 03:57:05,8,Saturday,True,73.42.158.58,India,Windows Laptop,False,8.96,0,8,CRITICAL,True,12.97,LOW
QRY000020,USR00953,Developer,Finance,CustomerDB,inventory,SELECT,SELECT * FROM inventory,25,395,2026-01-08 23:05:50,13,Monday,False,165.89.247.33,India,Tablet,False,7.54,1,2,HIGH,False,11.76,LOW
QRY000021,USR01104,Developer,IT,PayrollDB,tickets,UPDATE,UPDATE tickets SET status='active',238,40,2026-05-07 05:50:04,6,Tuesday,False,142.41.84.160,India,MacBook,False,6.38,1,8,LOW,False,20.66,LOW
QRY000022,USR00454,Manager,Finance,PayrollDB,logs,UPDATE,UPDATE logs SET status='active',539,171,2026-04-28 18:07:43,2,Tuesday,False,13.76.254.70,India,Linux Workstation,False,1.83,1,4,CRITICAL,False,14.24,LOW
QRY000023,USR01163,Developer,Operations,HRDB,employees,SELECT,SELECT * FROM employees,840417,8056,2026-06-18 10:10:22,18,Saturday,True,37.12.177.88,Russia,Windows Laptop,True,456.53,4,76,CRITICAL,False,275.69,HIGH
QRY000024,USR00632,Admin,Finance,PayrollDB,products,SELECT,SELECT * FROM products,820,316,2026-01-31 10:44:08,8,Monday,False,163.82.174.99,India,Linux Workstation,False,4.18,1,6,HIGH,True,17.5,LOW
QRY000025,USR00420,Manager,HR,FinanceDB,attendance,INSERT,INSERT INTO attendance VALUES (...),511,377,2026-03-15 11:04:02,18,Thursday,False,188.213.212.180,India,MacBook,False,4.58,0,6,CRITICAL,False,9.51,LOW
QRY000026,USR00446,Manager,IT,FinanceDB,attendance,SELECT,SELECT * FROM attendance,152,137,2026-04-27 08:16:44,23,Sunday,True,152.140.148.9,India,MacBook,False,3.38,0,3,CRITICAL,False,4.85,LOW
QRY000027,USR01116,Developer,Operations,HRDB,customers,DELETE,DELETE FROM customers,527098,6805,2026-06-08 00:38:34,6,Thursday,False,124.69.189.176,Russia,Tablet,True,917.36,5,87,MEDIUM,False,314.95,HIGH
QRY000028,USR00483,Manager,HR,FinanceDB,products,UPDATE,UPDATE products SET status='active',763,255,2026-06-15 12:28:11,4,Friday,False,52.104.137.190,India,MacBook,False,5.72,0,1,LOW,False,2.15,LOW
QRY000029,USR01044,SecurityAnalyst,HR,AuditDB,products,SELECT,SELECT * FROM products,22087,849,2026-04-17 01:52:59,23,Sunday,True,168.244.45.228,India,Linux Workstation,False,45.24,2,13,CRITICAL,False,42.23,MEDIUM
QRY000030,USR00574,DBA,Operations,AuditDB,products,UPDATE,UPDATE products SET status='active',519,13,2026-01-23 13:52:18,1,Sunday,True,179.106.236.164,India,Mobile,False,7.27,1,1,LOW,True,10.28,LOW
