user_id,username,role,department,login_timestamp,login_hour,day_of_week,device_type,device_trusted,ip_address,country,city,vpn_used,failed_attempts,mfa_enabled,login_success,session_duration_minutes,privileged_account,critical_system_access,previous_risk_score,jit_requests_last_30_days,number_of_alerts,number_of_sessions,weekend_login,login_frequency_last_7_days,behavior_anomaly_score,risk_label
USR00000,jamesmichelle,Admin,Finance,2026-02-02 02:18:44,9,Thursday,MacBook,True,69.77.170.146,India,Hyderabad,False,1,True,True,222,True,False,2.84,0,0,2,False,11,6.42,LOW
USR00001,wanda51,Manager,Security,2026-05-10 16:58:15,12,Saturday,Tablet,True,106.99.209.31,India,Delhi,False,0,True,True,345,False,False,21.87,0,1,5,True,13,18.94,LOW
USR00002,nhanson,SecurityAnalyst,HR,2026-01-16 07:05:48,17,Sunday,Linux Workstation,True,182.10.238.57,India,Mumbai,False,1,False,True,282,False,False,22.88,1,1,5,True,17,27.44,LOW
USR00003,brandon54,Admin,IT,2026-05-02 22:34:06,2,Sunday,Linux Workstation,False,54.157.62.112,Germany,Berlin,True,9,False,True,150,True,True,90.19,8,2,10,True,19,130.09,HIGH
USR00004,deannawu,Admin,Security,2026-04-12 14:03:30,1,Friday,Linux Workstation,False,132.4.20.215,Netherlands,Amsterdam,True,10,False,True,267,True,True,92.53,5,6,14,False,2,159.26,HIGH
USR00005,jillbradford,Admin,Operations,2026-03-26 00:51:59,18,Tuesday,Tablet,True,104.167.97.41,India,Bengaluru,False,0,False,True,318,True,False,8.88,1,1,5,False,12,15.44,LOW
USR00006,smithnathan,DBA,Operations,2026-03-06 20:15:43,23,Wednesday,Windows Laptop,False,189.97.112.82,Brazil,Sao Paulo,True,9,False,False,49,True,True,79.44,9,3,26,False,18,135.72,HIGH
USR00007,richardsonbrian,DBA,Security,2026-05-28 10:55:46,18,Sunday,Windows Laptop,True,51.209.166.63,India,Hyderabad,False,0,True,True,20,True,False,24.97,1,0,4,True,19,15.48,LOW
USR00008,sarah02,SecurityAnalyst,Operations,2026-04-15 07:25:11,17,Sunday,Mobile,False,143.180.67.86,Russia,Moscow,True,2,True,True,394,False,True,58.2,2,2,8,True,18,61.1,MEDIUM
USR00009,kmiller,Developer,Finance,2026-01-15 11:38:49,14,Tuesday,Mobile,True,12.133.107.69,India,Hyderabad,False,1,False,True,52,False,False,4.84,0,0,0,False,12,7.42,LOW
